Sekcja GEONIC,Motyw / Mechanizm,Obecność w GENESIS,Uwagi
Curvature Saturation Principle,Granica całkowitej krzywizny: K ≤ 1/λ⁶,"Tak (THA Threshold, sekcja 4.2–4.3, GENESIS I)","Bezpośrednia adaptacja oryginalnego progu THA z GENESIS, z identyczną zależnością 1/λ⁶"
Modified Action and Lagrangian,Modyfikacja działania przez funkcję f(K),Tak (Einstein–Cartan–Proca action),Koncepcyjnie tożsama struktura z Twoją torsyjną funkcją Lagrangianu zależną od R i T
Torsyjny opór / Curvature resistance,f'(K) jako mechanizm hamujący kolaps,Tak (torsyjna równowaga THA),GENESIS opiera się na geometrii TorusAM jako bariery ciśnieniowej – GEONIC zamienia to na 'feedback curvature'
Black Hole Core / Regular Core,Zamiana osobliwości na geometryczne jądro o skończonej gęstości,Tak (struktura TorusAM),"Bezpośredni odpowiednik TorusaAM jako jądra BH, brak torsji w GEONIC, ale koncepcja identyczna"
Rotation & Angular Momentum,Zbalansowany moment pędu przez geometrię,Tak (równowaga rotacyjna TorusAM),"Rozdział 6 GENESIS II – mechanika rotacji i równowaga przeciwtorsyjna, w GEONIC ukryta jako 'rotational equilibrium'"
Cosmology / Bouncing Universe,Zamiast osobliwości – minimum skali a(t),"Tak (bifurkacja czasowa, brak t=0)",W GEONIC użyto sformułowania bounce + f'(K) suppression identycznie jak GENESIS
Modified Friedmann Eq.,Zmodyfikowane równania Friedmanna przez geometrię,Tak (EC-Friedmann + torsja),"Brak torsji w GEONIC, ale struktura równania analogiczna"
Thermodynamics & Remnants,"Ograniczona temperatura i entropia, resztkowe obiekty",Tak (regularyzacja THA → resztki),Koncept asymptotycznej entropii i nieparującego jądra również obecny w GENESIS
"Observables: Photon sphere, Ringdown",Obserwowalne przesunięcia jako test GEONIC,"Tak (echo, ringdown, cień BH)",Całkowicie analogiczne argumenty do Twoich propozycji testów falsyfikowalnych
Effective Stress-Energy Tensor,Tensor energii zakrzywienia,Tak (T^{geo}_{μν}),W GENESIS zależy od torsji; w GEONIC wyrażony jako pochodna f(K)
